Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
AZ,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,6946685,23,777,,,,485,8.8,3.74,15.94,0,287,3.2,0.39,7.91,1,145,3.5,0.18,8.81,1,135,5.7,1.11,11.62,0,805,4,2.76,5.25,0,940,4.8,2.55,7.89,0,333441,177140,548093,false,true
CA,"Oct 8 - Oct 13, 2020",6,Statewide,Statewide,39148760,245,4.7,1.83,7.86,0,245,5.7,2.46,9.13,0,245,3.1,0.8,5.78,0,245,2.4,0.71,4.58,0,392,3.9,1.63,6.46,0,588,5.1,3.05,7.42,0,980,4.5,2.9,6.42,0,1761694,1135314,2513350,true,false
CO,"Oct 8 - Oct 19, 2020",6,Statewide,Statewide,5531141,242,8.4,3.72,14.65,0,246,3.9,1.52,6.83,0,245,3.1,1.05,5.53,0,245,1.4,0.28,3.06,1,437,5.1,2.38,8.37,0,541,3.8,1.96,5.94,0,978,4.4,2.82,6.51,0,243370,155978,360077,true,true
CT,"Oct 8 - Oct 13, 2020",6,Statewide,Statewide,3581504,246,2.8,0.86,5.17,0,245,2.3,0.47,4.62,0,248,1.5,0,3.39,0,249,2.6,0.76,4.8,0,427,2.7,1.11,4.57,0,561,1.9,0.76,3.35,0,988,2.3,1.32,3.52,0,82375,47276,126069,true,false
DC,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,684498,81,7.4,1.87,13.79,0,425,7,4.35,9.83,0,218,7.9,4.35,12.41,0,303,3.8,1.55,6.44,0,465,7.8,5.11,10.95,0,562,5.9,3.69,8.53,0,1027,6.8,4.99,8.89,0,46546,34156,60852,true,false
DE,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,949495,45,777,,,,292,9.8,6.17,14.71,0,293,3.3,1.25,5.77,0,350,2.4,0.77,4.78,0,400,4.1,1.98,6.88,0,580,10.4,6.42,15.05,0,980,7.4,4.95,9.88,0,70263,47000,93810,true,false
FL,"Oct 9 -  Oct 9, 2020",6,Statewide,Statewide,20598139,246,6.1,2.89,9.68,0,245,11.7,6.62,16.82,0,246,6.6,3.55,10.23,0,246,4.1,1.51,7.3,0,386,7.6,4.44,11.18,0,597,8.4,5.95,11.51,0,983,8,6.01,10.22,0,1647851,1237948,2105130,true,false
GA,"Oct 6 - Oct 13, 2020",6,Statewide,Statewide,10297484,249,6.6,3.6,10.13,0,250,11.1,6.61,16.3,0,259,6.5,3.34,10.43,0,250,6.2,3.01,10.01,0,442,8.2,5.19,11.67,0,566,8.8,5.47,12.72,0,1008,8.5,6.17,11.18,0,875286,635355,1151259,true,false
HI,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,1422029,16,777,,,,204,1.6,0,3.68,0,21,777,,,,198,3,0.69,6.23,0,137,1.2,0,2.93,0,302,2.8,0.32,6.82,1,439,2,0.55,4.19,0,28441,7821,59583,false,true
IA,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,3132499,21,777,,,,375,16.2,12.05,20.33,0,295,10,6.37,14.22,0,285,8.3,4.83,11.66,0,434,10.5,7.62,13.73,0,542,15.4,8.96,23.5,0,976,13,9.28,18.19,0,407225,290696,569802,true,false
